poiid,poiname,poiname_py,poiname_en,adcode,otype,stype,atype,rank,updatetime,update_flag,max_updatetime,address,address_en,x,y
1009956256,水里梅铺,ShuiLiMeiPu,,210103,0X6,0x0,0x0,0.5,,1,,沈州路60号,,123.443341,41.79334
1009955969,静鑫欣便利店,JingXinXinBianLiDian,,210103,0X6,0x2,0x0,0.5,,1,,南文会街4号,,123.429928,41.789982
1009940844,名优香烟(山东堡社区卫生服务站东南),MingYouXiangYan(ShanDongBaoSheQuWeiShengFuWuZhanDongNan),,210103,0X6,0xC,0xA,0.5,,1,,令闻街192号,,123.449458,41.814665
1009940857,欣毓食杂店,XinYuShiZaDian,,210103,0X6,0x2,0x0,0.5,,1,,太清宫街9号,,123.447193,41.802769
1009940858,富达楼梯,FuDaLouTi,,210103,0X6,0x6,0x3,0.5,,1,,小北关街14号,,123.451879,41.811381
1009954900,沈阳盛顺达绝缘材料有限公司,ShenYangShengShunDaJueYuanCaiLiaoYouXianGongSi,,210103,0X6,0x6,0x3,0.5,,1,,西顺城街228号,,123.448276,41.79523
1009939763,辽宁鑫达商贸有限公司,LiaoNingXinDaShangMaoYouXianGongSi,,210103,0X6,0xC,0x0,0.5,,1,,万寿寺街68号,,123.444882,41.800635
1009939764,沈阳市顺达隆机电产品经销处,ShenYangShiShunDaLongJiDianChanPinJingXiaoChu,,210103,0X6,0x6,0x3,0.5,,1,,正阳街顺垣巷24号,,123.450626,41.804375
1009956411,春蒙服饰,ChunMengFuShi,,210103,0X6,0xB,0x0,0.5,,1,,金觉寺街60号,,123.463363,41.790409
1009956414,吉祥贝贝品牌童装折扣店,JiXiangBeiBeiPinPaiTongZhuangZheKouDian,,210103,0X6,0xB,0x0,0.5,,1,,北顺城路61号,,123.45457,41.804714
1009956415,中国黄金(西顺城街),ZhongGuoHuangJin,,210103,0X6,0xC,0x2,0.5,,1,,西顺城街113号,,123.448724,41.799015
1009956421,榛子行,ZhenZiHang,,210103,0X6,0x7,0x4,0.5,,1,,南三经街3号,,123.425293,41.789593
1009940194,帝牌服饰,DiPaiFuShi,,210103,0X6,0xB,0x0,0.5,,1,,热闹路76号五爱大厦1层110,,123.4531,41.788242
1009960630,大勇水果店,DaYongShuiGuoDian,,210103,0X6,0x7,0x4,0.5,,1,,沿泉路11号,,123.4673,41.788967
1009960634,四季雪批,SiJiXuePi,,210103,0X6,0x0,0x0,0.5,,1,,乐郊路17号,,123.450758,41.791818
1009950595,匹克运动(中街路),PiKeYunDong(ZhongJieLu),,210103,0X6,0x9,0x0,0.5,,1,,中街路137号,,123.458172,41.80135
1009951020,兴旺粮油店(大万莲社区东),XingWangLiangYouDian(DaWanLianSheQuDong),,210103,0X6,0x7,0x3,0.5,,1,,先农坛路21号,,123.470592,41.782839
1009957120,意大利里多尼奥男装,YiDaLiLiDuoNiAoNanZhuang,,210103,0X6,0xB,0x0,0.5,,1,,热闹路76号五爱大厦7层709-710,,123.4531,41.788242
1009935502,沈阳鑫天宏伟业通讯电器商行,ShenYangXinTianHongWeiYeTongXunDianQiShangHang,,210103,0X6,0x3,0x6,0.5,,1,,翰林路4号,,123.447079,41.785012
1009939854,洋洋大南店,YangYangDaNanDian,,210103,0X6,0xC,0x8,0.5,,1,,南顺城路37号,,123.455316,41.79276
1009939857,鄂尔多斯(长青街),EErDuoSi(ZhangQingJie),,210103,0X6,0xB,0x1,0.5,,1,,长青街69号,,123.477194,41.779022
1009946324,中国移动&联通(文艺路),ZhongGuoYiDongLianTong(WenYiLu),,210103,0X6,0x3,0x5,0.5,,1,,文艺路88号,,123.454814,41.778
1009911355,金成房产,JinChengFangChan,,210103,0X7,0x10,0x0,0.5,,1,,团结路71号,,123.44624,41.812903
1009911362,红太阳房产,HongTaiYangFangChan,,210103,0X7,0x10,0x0,0.5,,1,,先农坛路十七巷7号,,123.470242,41.78376
1009911788,常师傅美发,ChangShiFuMeiFa,,210103,0X7,0xB,0x0,0.5,,1,,东顺城内街116号,,123.463687,41.79861
1009911796,手机维修(小北关街),ShouJiWeiXiu(XiaoBeiGuanJie),,210103,0X7,0xC,0x0,0.5,,1,,小北关街126号,,123.451999,41.814333
1009913140,响叮当儿童摄影,XiangDingDangErTongSheYing,,210103,0X7,0xD,0x0,0.5,,1,,小西路85号,,123.436492,41.80224
1009913143,卉轩鲜花庆典,HuiXuanXianHuaQingDian,,210103,0X7,0x0,0x0,0.5,,1,,文艺路27号,,123.451799,41.777646
1009916031,阿英美发名店,AYingMeiFaMingDian,,210103,0X7,0xB,0x0,0.5,,1,,北清真路97号,,123.441736,41.804513
1009921514,100%绘意吧,100HuiYiBa,,210103,0X7,0x0,0x0,0.5,,1,,南二经街78号,,123.430521,41.784023
1009930373,晓东服饰店,XiaoDongFuShiDian,,210103,0X6,0xB,0x0,0.5,,1,,市府大路420号,,123.44424,41.805453
1009927357,爱特音首饰包装,AiTeYinShouShiBaoZhuang,,210103,0X7,0x0,0x0,0.5,,1,,沈阳路万宝盖巷37号,,123.45065,41.800025
1009919735,旺达房产,WangDaFangChan,,210103,0X7,0x10,0x0,0.5,,1,,青年大街218号,,123.433929,41.788389
1009920170,精修各式钟表,JingXiuGeShiZhongBiao,,210103,0X7,0xC,0x0,0.5,,1,,南通天街48号,,123.455672,41.784324
1009926453,菲丽美容院,FeiLiMeiRongYuan,,210103,0X7,0xB,0x0,0.5,,1,,北文萃路71号,,123.443122,41.766027
1009922697,恒泰房产,HengTaiFangChan,,210103,0X7,0x10,0x0,0.5,,1,,小西路友爱东巷9号,,123.442957,41.801014
1009916361,红娘婚纱,HongNiangHunSha,,210103,0X7,0xD,0x0,0.5,,1,,朝阳街少帅府后巷3号,,123.459842,41.794957
1009922878,笑笑联盟鞋吧,XiaoXiaoLianMengXieBa,,210103,0X7,0x0,0x0,0.5,,1,,万寿寺街267号,,123.445932,41.791514
1009922890,樱の花丝足院,YingHuaSiZuYuan,,210103,0X7,0xE,0x0,0.5,,1,,大西路140号,,123.443294,41.795744
1009912524,宏奥货运有限公司(南翰林路),HongAoHuoYunYouXianGongSi(NanHanLinLu),,210103,0X7,0x5,0x0,0.5,,1,,南翰林路21号,,123.44964,41.782757
1009912527,华利美发店,HuaLiMeiFaDian,,210103,0X7,0xB,0x0,0.5,,1,,北热闹路48号,,123.435878,41.788352
